0,7.02,400
1,7.72,570
2,7.96,580
3,8.22,430
4,8.18,250
5,7.82,210
6,7.47,340
7,7.29,530
8,7.54,600
9,7.82,480
10,7.94,290
11,7.75,200
12,7.39,290
13,7.07,480
14,7.18,600
15,7.59,530
16,7.7,340
17,7.67,210
18,7.17,250
19,6.86,430
20,6.96,580
21,7.22,570
22,7.48,400
23,7.44,230
24,7.1,220
25,6.8,370
26,6.63,550
27,6.86,590
28,7.25,450
29,7.22,270
30,7.03,200
31,6.59,320
32,6.43,510
33,6.53,600
34,6.89,510
35,7.0,310
36,6.82,200
37,6.53,270
38,6.24,460
39,6.34,590
40,6.55,550
41,6.79,370
42,6.76,220
43,6.33,230
44,6.05,400
45,6.02,570
46,6.23,580
47,6.59,420
48,6.56,250
49,6.27,210
50,5.99,350
51,5.84,530
52,6.04,600
53,6.27,480
54,6.36,290
55,6.21,200
56,5.81,300
57,5.67,490
58,5.75,600
59,6.09,530
60,6.18,340
61,6.14,210
62,5.75,250
63,5.5,430
64,5.58,580
65,5.79,570
66,5.99,390
67,5.96,230
68,5.69,220
69,5.45,380
70,5.31,550
71,5.5,590
72,5.81,450
73,5.79,260
74,5.52,200
75,5.29,320
76,5.15,510
77,5.23,600
78,5.76,500
79,5.83,310
80,5.7,200
81,5.34,270
82,5.2,460
83,5.18,590
84,5.47,550
85,5.66,360
86,5.53,220
87,5.29,240
88,5.04,410
89,5.03,570
90,5.2,580
91,5.39,420
92,5.47,240
93,5.23,210
94,4.94,350
95,4.93,540
96,5.0,600
97,5.38,480
98,5.48,290
99,5.28,200
100,5.06,300
101,5.08,490
102,5.17,600
103,5.35,520
104,5.53,340
105,5.41,210
106,5.17,250
107,4.93,440
108,5.11,590
109,5.41,560
110,5.6,390
111,5.57,230
112,5.22,220
113,4.99,380
114,4.96,560
115,5.14,590
116,5.44,450
117,5.51,260
118,5.27,200
119,5.09,330
120,5.02,520
121,5.1,600
122,5.39,500
123,5.46,310
124,5.33,200
125,4.99,280
126,4.87,470
127,5.14,590
128,5.55,540
129,5.75,360
130,5.6,210
131,5.36,240
132,5.12,410
133,5.09,570
134,5.28,580
135,5.58,420
136,5.55,240
137,5.3,210
138,5.02,350
139,5.0,540
140,5.39,600
141,5.59,470
142,5.67,280
143,5.42,200
144,5.18,300
145,5.05,490
146,5.13,600
147,5.32,520
148,5.62,330
149,5.47,210
